epoch,step,train_loss
249,999,0.1322595477104187
499,1999,0.026508910581469536
749,2999,0.2620762288570404
999,3999,0.25410595536231995
1249,4999,0.2569103538990021
1499,5999,0.25708693265914917
1749,6999,0.0003919883747585118
1999,7999,0.2566913068294525
2249,8999,0.2556387484073639
2499,9999,0.00023304169008042663
2749,10999,0.00042498615221120417
2999,11999,0.2561919391155243
3249,12999,0.00020457833306863904
3499,13999,0.25588977336883545
3749,14999,0.2563072443008423
3999,15999,0.2565322816371918
4249,16999,0.2565264403820038
4499,17999,0.0001741696905810386
4749,18999,0.00014804121747147292
4999,19999,0.00012940574379172176
5249,20999,0.2567700445652008
5499,21999,0.25587356090545654
5749,22999,0.00012594799045473337
5999,23999,0.00011150603677378967
6249,24999,0.2558112144470215
6499,25999,0.2557907700538635
6749,26999,0.0001243956940015778
6999,27999,0.2560582458972931
7249,28999,5.5325675930362195e-05
7499,29999,0.2558777928352356
7749,30999,5.2746043365914375e-05
7999,31999,7.223967259051278e-05
